Code Name,Train,Display Name
4 Av & 4 Av-9 Sts ,F,4 Av
5 Av & 4 Av-9 Sts , G,4 Av-9 Sts
6 Av & 4 Av-9 Sts , R,4 Av-9 Sts
14 St (8 Av) ,A,14 St
14 St (8 Av) , C,14 St
14 St (8 Av) , E,14 St
14 St (8 Av) , L,14 St
14 St (6 Av) ,1,14 St
14 St (6 Av) ,2,14 St
14 St (6 Av) ,3,14 St
14 St (6 Av) , F,14 St
14 St (6 Av) , M,14 St
14 St (6 Av) , L,14 St
34 St-Penn Station (E) ,1,34 St-Penn Station
34 St-Penn Station (E) , 2,34 St-Penn Station
34 St-Penn Station (E) ,3,34 St-Penn Station
34 St-Penn Station (W) ,A,34 St-Penn Station
34 St-Penn Station (W) , C,34 St-Penn Station
34 St-Penn Station (W) , E,34 St-Penn Station
42 St-Bryant Park & 5 Av ,B,42 St-Bryant Park
42 St-Bryant Park & 5 Av , D,42 St-Bryant Park
42 St-Bryant Park & 5 Av , F,42 St-Bryant Park
42 St-Bryant Park & 5 Av , M,42 St-Bryant Park
42 St-Bryant Park & 5 Av ,7,5 Av
Broadway-Lafayette St & Bleecker St ,B,Broadway-Lafayette St
Broadway-Lafayette St & Bleecker St , D,Broadway-Lafayette St
Broadway-Lafayette St & Bleecker St , F,Broadway-Lafayette St
Broadway-Lafayette St & Bleecker St , M,Broadway-Lafayette St
Broadway-Lafayette St & Bleecker St ,6,Bleecker St
Brooklyn Bridge-City Hall & Chambers St (E) ,J,Chambers St
Brooklyn Bridge-City Hall & Chambers St (E) , Z,Chambers St
Brooklyn Bridge-City Hall & Chambers St (E) , 4,Brooklyn Bridge-City Hall
Brooklyn Bridge-City Hall & Chambers St (E) , 5,Brooklyn Bridge-City Hall
Brooklyn Bridge-City Hall & Chambers St (E) ,6,Brooklyn Bridge-City Hall
Canal St (E) ,J,Canal St
Canal St (E) , N,Canal St
Canal St (E) , Q,Canal St
Canal St (E) , R,Canal St
Canal St (E) , W,Canal St
Canal St (E) , Z,Canal St
Canal St (E) ,6,Canal St
Canal St (W) ,A,Canal St
Canal St (W) , C,Canal St
Canal St (W) , E,Canal St
Chambers St (W) ,1,Chambers St
Chambers St (W) , 2,Chambers St
Chambers St (W) ,3,Chambers St
Chambers St (M) & World Trade Center & Park Place & Cortlandt St ,A,Chambers St
Chambers St (M) & World Trade Center & Park Place & Cortlandt St , C,Chambers St
Chambers St (M) & World Trade Center & Park Place & Cortlandt St , E,World Trade Center
Chambers St (M) & World Trade Center & Park Place & Cortlandt St , 2,Park Place
